City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Aliwal North,ZA,-30.6937,26.7114,53.49,72,72,1.54,broken clouds
79,Ishurdi,BD,24.1333,89.0833,83.01,68,27,7.78,scattered clouds
80,Carnarvon,AU,-24.8667,113.6333,84.54,33,98,8.41,overcast clouds
81,Faanui,PF,-16.4833,-151.75,81.46,69,14,7.56,few clouds
82,Gat,IL,31.61,34.7642,56.39,100,1,5.48,clear sky
83,Awbari,LY,26.5921,12.7805,72.72,14,99,16.31,overcast clouds
84,Lavrentiya,RU,65.5833,-171.0,26.08,86,13,2.93,few clouds
85,Vestmanna,FO,62.1564,-7.1664,41.92,87,20,13.8,few clouds
86,Nuuk,GL,64.1835,-51.7216,25.41,93,100,8.05,light snow
87,Hoshcha,UA,50.6003,26.6744,39.42,93,100,7.63,overcast clouds
88,Astoria,US,46.1879,-123.8313,51.48,69,0,6.91,clear sky
89,Acapulco,MX,16.8634,-99.8901,80.42,74,0,6.91,clear sky
90,Qaanaaq,GL,77.484,-69.3632,-9.26,87,100,7.34,overcast clouds
91,Chokurdakh,RU,70.6333,147.9167,21.92,92,54,4.68,broken clouds
92,Brownsville,US,25.9018,-97.4975,78.75,86,100,12.66,overcast clouds
93,Opotiki,NZ,-38.0833,177.2833,70.39,83,100,9.78,overcast clouds
94,Popondetta,PG,-8.7537,148.2534,85.87,68,79,1.97,broken clouds
95,Mataura,NZ,-46.1927,168.8643,55.47,98,100,3.69,light rain
96,Isangel,VU,-19.55,169.2667,81.46,72,45,7.74,scattered clouds
97,Fraserburgh,GB,57.6874,-2.0184,40.12,86,75,8.52,broken clouds
98,Kyra,RU,49.5776,111.9753,39.67,30,38,8.75,scattered clouds
99,Mayo,US,38.8876,-76.5119,52.11,71,0,10.36,clear sky
100,Svetlogorsk,BY,52.6333,29.7333,42.01,99,100,3.76,overcast clouds
101,Lebu,CL,-37.6167,-73.65,49.55,83,79,3.94,broken clouds
102,Longonjo,AO,-12.9067,15.2533,63.5,90,82,1.92,broken clouds
103,Tiksi,RU,71.6872,128.8694,12.83,93,100,6.22,overcast clouds
104,Ilulissat,GL,69.2167,-51.1,17.62,45,100,10.36,overcast clouds
105,Mezhdurechensk,RU,53.6942,88.0603,36.57,99,100,2.86,light rain
106,Tuktoyaktuk,CA,69.4541,-133.0374,4.75,97,98,6.2,overcast clouds
107,Komsomolskiy,UZ,40.4272,71.7189,59.72,77,100,4.61,overcast clouds
108,Camacha,PT,33.0833,-16.3333,56.62,77,40,11.5,scattered clouds
109,Sekoma,BW,-24.4,23.8833,55.74,78,0,6.71,clear sky
110,Tuatapere,NZ,-46.1333,167.6833,54.37,94,100,4.14,overcast clouds
111,Vila,PT,42.0304,-8.1588,38.28,88,97,2.01,overcast clouds
112,Severo-Kurilsk,RU,50.6789,156.125,36.39,96,99,3.47,overcast clouds
113,Mount Isa,AU,-20.7333,139.5,91.17,21,6,12.66,clear sky
114,Kieta,PG,-6.2167,155.6333,85.17,68,30,4.03,scattered clouds
115,Mirabad,AF,30.4362,61.8383,77.25,13,13,2.93,few clouds
116,Atuona,PF,-9.8,-139.0333,79.21,75,19,17.67,few clouds
117,Cape Town,ZA,-33.9258,18.4232,62.91,91,75,4.0,mist
118,Airai,TL,-8.9266,125.4092,72.48,68,45,4.21,scattered clouds
119,Tynda,RU,55.1667,124.7167,31.03,44,77,8.03,broken clouds
120,Ushuaia,AR,-54.8,-68.3,42.46,81,40,23.02,scattered clouds
121,Norman Wells,CA,65.282,-126.8329,30.87,80,98,1.66,overcast clouds
122,Kudahuvadhoo,MV,2.6708,72.8944,83.34,72,42,7.78,scattered clouds
123,Jibuti,DJ,11.5,42.5,73.94,82,49,14.45,scattered clouds
124,Adrar,MR,20.5022,-10.0711,75.04,17,5,11.27,clear sky
125,Kodiak,US,57.79,-152.4072,44.11,57,0,6.91,clear sky
126,Chuy,UY,-33.6971,-53.4616,62.92,88,100,8.23,overcast clouds
127,Luderitz,NA,-26.6481,15.1594,69.22,40,8,3.18,clear sky
128,Abu Samrah,SY,35.3029,37.1841,49.33,88,0,6.64,clear sky
129,San Miguel,SV,13.4833,-88.1833,83.86,84,40,9.22,scattered clouds
130,Batagay,RU,67.6333,134.6333,29.32,93,100,2.39,overcast clouds
131,Brandon,US,27.9378,-82.2859,71.47,72,0,4.61,clear sky
132,Cayenne,GF,4.9333,-52.3333,80.1,1,75,0.0,broken clouds
133,Ngunguru,NZ,-35.6167,174.5,67.82,91,37,12.93,scattered clouds
134,Tupik,RU,54.4253,119.9327,33.6,42,35,6.67,scattered clouds
135,Tahta,EG,26.7693,31.5021,62.08,47,3,11.25,clear sky
136,Kamenka,RU,51.3223,42.7678,45.93,82,38,11.54,scattered clouds
137,Torbay,CA,47.6666,-52.7314,40.75,92,100,18.41,light intensity shower rain
138,Klaksvik,FO,62.2266,-6.589,43.72,91,1,16.02,clear sky
139,Ilhabela,BR,-23.7781,-45.3581,68.79,86,63,2.01,broken clouds
140,Lompoc,US,34.6391,-120.4579,57.34,87,0,5.75,clear sky
141,Lively,CA,46.4334,-81.1498,30.72,76,99,7.85,overcast clouds
142,Vardo,NO,70.3705,31.1107,38.44,94,27,10.67,scattered clouds
143,Qaqortoq,GL,60.7167,-46.0333,30.24,69,100,6.51,overcast clouds
144,Lagoa,PT,39.05,-27.9833,58.15,75,68,15.88,broken clouds
145,Male,MV,4.1748,73.5089,84.09,72,65,6.42,broken clouds
146,Bonavista,CA,48.6499,-53.1147,36.23,92,100,13.91,light rain
147,Kavieng,PG,-2.5744,150.7967,84.52,73,100,13.04,light rain
148,Khandyga,RU,62.6667,135.6,31.77,73,100,4.32,overcast clouds
149,Hami,CN,42.8,93.45,66.63,9,46,9.84,scattered clouds
150,Cockburn Town,TC,21.4612,-71.1419,77.14,81,100,17.38,overcast clouds
151,Oranjestad,AW,12.524,-70.027,78.44,88,15,16.17,few clouds
152,Mount Gambier,AU,-37.8333,140.7667,60.31,52,100,7.87,overcast clouds
153,Souillac,MU,-20.5167,57.5167,75.58,94,40,3.44,scattered clouds
154,Barberton,ZA,-25.7884,31.0532,53.01,90,86,4.12,overcast clouds
155,Challans,FR,46.8436,-1.8749,53.8,89,93,5.95,overcast clouds
156,Sambava,MG,-14.2667,50.1667,75.16,95,100,10.07,heavy intensity rain
157,Wanning,CN,18.8003,110.3967,81.84,69,18,6.29,few clouds
158,Zhuhai,CN,22.2769,113.5678,81.86,78,87,3.44,overcast clouds
159,Grindavik,IS,63.8424,-22.4338,41.47,100,40,4.61,scattered clouds
160,El Cope,PA,8.6167,-80.6,69.03,83,83,1.68,broken clouds
161,Buta,CD,2.7858,24.73,70.81,99,100,1.59,overcast clouds
162,Puerto Leguizamo,CO,-0.1934,-74.7819,72.61,98,95,0.63,overcast clouds
163,Dengzhou,CN,37.8086,120.7508,69.93,40,7,20.65,clear sky
164,Shuyskoye,RU,59.3736,41.0305,36.77,86,97,7.94,overcast clouds
165,Hilo,US,19.7297,-155.09,76.73,74,40,10.36,scattered clouds
166,Tsabong,BW,-26.0217,22.401,61.41,63,0,9.6,clear sky
167,Chara,RU,56.9064,118.2631,22.33,57,15,1.68,few clouds
168,Tigre,AR,-34.426,-58.5796,63.21,94,0,4.61,light rain
169,Veraval,IN,20.9,70.3667,86.13,47,35,14.2,scattered clouds
170,Tarko-Sale,RU,64.9225,77.785,7.36,89,56,18.37,broken clouds
171,Ak-Dovurak,RU,51.1833,90.6,45.54,43,54,0.78,broken clouds
172,Manzhouli,CN,49.6,117.4333,45.61,17,5,9.51,clear sky
173,Pulivendla,IN,14.4167,78.2333,90.0,43,2,5.95,clear sky
174,Tupiza,BO,-21.45,-65.7167,54.97,21,54,3.67,broken clouds
175,Lazaro Cardenas,MX,17.9583,-102.2,75.69,79,0,5.37,clear sky
176,Nizwa,OM,22.9333,57.5333,79.66,23,87,0.78,overcast clouds
177,La Ronge,CA,55.1001,-105.2842,22.68,92,39,2.46,scattered clouds
178,Banjar,ID,-8.19,114.9675,86.0,67,83,5.01,broken clouds
179,Ouadda,CF,8.0777,22.4007,69.1,93,100,3.29,overcast clouds
180,Pangnirtung,CA,66.1451,-65.7125,13.32,90,100,5.32,overcast clouds
181,Sept-Iles,CA,50.2001,-66.3821,37.06,59,6,7.0,clear sky
182,Sola,VU,-13.8833,167.55,82.96,73,24,10.76,few clouds
183,Belaya Kalitva,RU,48.17,40.78,41.14,84,1,3.96,clear sky
184,Pevek,RU,69.7008,170.3133,28.13,78,100,0.6,overcast clouds
185,Bangassou,CF,4.7413,22.8184,69.12,100,100,2.35,overcast clouds
186,Banbury,GB,52.0602,-1.3403,43.74,82,88,1.99,overcast clouds
187,Huarmey,PE,-10.0681,-78.1522,68.25,86,98,8.97,overcast clouds
188,Lewisville,US,33.0462,-96.9942,79.72,68,0,21.85,clear sky
189,Hambantota,LK,6.1241,81.1185,84.54,94,20,1.14,few clouds
190,Olafsvik,IS,64.8945,-23.7142,45.43,89,100,5.57,overcast clouds
191,Poum,NC,-20.2333,164.0167,78.48,72,20,14.16,few clouds
192,Ancud,CL,-41.8697,-73.8203,54.23,88,100,19.71,light rain
193,East London,ZA,-33.0153,27.9116,70.11,51,93,5.01,overcast clouds
194,Port Lincoln,AU,-34.7333,135.8667,63.61,55,98,8.46,overcast clouds
195,Faya,SA,18.3851,42.4509,61.32,49,89,1.5,overcast clouds
196,Nkongsamba,CM,4.9547,9.9404,67.3,97,98,1.23,overcast clouds
197,Bodden Town,KY,19.2833,-81.25,80.6,79,20,12.66,few clouds
198,Suhbaatar,MN,50.2314,106.2078,43.11,27,100,9.62,overcast clouds
199,Havoysund,NO,70.9963,24.6622,44.83,88,100,14.99,overcast clouds
200,Mana,GF,5.6592,-53.7767,76.35,91,100,9.01,overcast clouds
201,Hualmay,PE,-11.0964,-77.6139,67.41,87,99,8.48,overcast clouds
202,Georgetown,MY,5.4112,100.3354,87.73,70,20,1.14,haze
203,Rosamorada,MX,22.1222,-105.2058,70.03,76,0,0.25,clear sky
204,Upernavik,GL,72.7868,-56.1549,-9.0,71,43,7.18,scattered clouds
205,Mocuba,MZ,-16.8392,36.9856,69.49,93,100,4.27,overcast clouds
206,Eureka,US,40.8021,-124.1637,54.36,85,100,7.0,light rain
207,Henties Bay,NA,-22.116,14.2845,67.93,63,40,2.35,scattered clouds
208,Toda Raisingh,IN,26.0252,75.4849,90.7,20,100,15.57,overcast clouds
209,Cheremukhovo,RU,60.3484,59.9851,22.87,85,91,12.03,light snow
210,Chapais,CA,49.7834,-74.8492,22.19,96,17,2.55,few clouds
211,Lasa,IT,46.6166,10.7002,43.36,95,99,1.79,overcast clouds
212,Hithadhoo,MV,-0.6,73.0833,82.76,69,83,4.38,broken clouds
213,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.13,89,0,5.95,clear sky
214,Kerema,PG,-7.9631,145.7785,85.8,66,83,8.28,broken clouds
215,Mecca,SA,21.4267,39.8261,81.21,46,89,3.0,overcast clouds
216,Fukue,JP,32.6881,128.8419,56.88,94,100,9.37,moderate rain
217,Laredo,US,27.5064,-99.5075,80.89,69,0,13.8,clear sky
218,Ribeira Grande,PT,38.5167,-28.7,59.58,74,84,12.3,broken clouds
219,Mulchen,CL,-37.7167,-72.2333,46.15,76,90,3.49,overcast clouds
220,Goderich,CA,43.7501,-81.7165,44.91,61,100,21.63,overcast clouds
221,Bethel,US,41.3712,-73.414,46.71,61,0,0.0,clear sky
222,Sayat,TM,38.7839,63.8803,65.12,52,0,9.73,clear sky
223,Half Moon Bay,US,37.4636,-122.4286,62.4,72,100,18.41,overcast clouds
224,Yar-Sale,RU,66.8333,70.8333,10.87,90,100,25.1,overcast clouds
225,Groton,US,41.3501,-72.0784,47.91,49,0,4.61,clear sky
226,Ribera,IT,37.4984,13.2642,62.6,46,100,11.59,overcast clouds
227,Comarapa,BO,-17.9,-64.4833,53.1,94,80,3.58,broken clouds
