City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
241,Springdale,US,65.68,overcast clouds,36.1867,-94.1288,Springdale Inn
251,Guerrero Negro,MX,60.31,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
253,Mollendo,PE,66.85,broken clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
255,Kindu,CD,68.65,overcast clouds,-2.95,25.95,Résidence Okanda
260,Necochea,AR,58.78,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
267,Juneau,US,50.0,few clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
269,Paita,PE,69.69,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
271,Caldwell,US,62.74,overcast clouds,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
277,Te Anau,NZ,55.62,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
280,Urumqi,CN,58.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
281,Poptun,GT,68.27,clear sky,16.3311,-89.4169,Hotel Sevilla
284,Aurora,US,64.38,broken clouds,39.7294,-104.8319,Best Western Plus Gateway Inn & Suites
293,Doctor Mora,MX,66.24,broken clouds,21.1417,-100.3125,Obed Jaramillo
300,Ayagoz,KZ,56.44,broken clouds,47.9714,80.4392,ХАН
304,Livadiya,RU,53.33,clear sky,42.8692,132.6764,"Tourist base ""Silger"""
305,Itaberai,BR,65.89,clear sky,-16.0203,-49.8103,HOTEL ARAGUAIA
306,Coos Bay,US,53.58,broken clouds,43.3665,-124.2179,Best Western Holiday Hotel
307,Esna,EG,65.16,scattered clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
308,Shimoda,JP,63.95,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
309,Yumen,CN,57.83,overcast clouds,40.2833,97.2,
310,Paso De Los Toros,UY,62.58,scattered clouds,-32.8167,-56.5167,Complejo Isabelino
312,Fortuna,US,54.09,moderate rain,40.5982,-124.1573,Super 8 by Wyndham Fortuna
316,Coquimbo,CL,55.13,broken clouds,-29.9533,-71.3436,Hotel San Juan
321,Moyale,KE,65.79,light rain,3.5167,39.0584,La Tahzan Guest House
325,Burley,US,51.76,clear sky,42.5357,-113.7928,Fairfield Inn & Suites by Marriott Burley
326,Paraiso,CR,65.41,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
331,Russell,US,63.63,clear sky,32.3502,-85.1999,Macs
332,Chicama,PE,63.14,broken clouds,-7.8447,-79.1469,Balihai Bungalows
338,Ulladulla,AU,60.89,overcast clouds,-35.35,150.4667,Sandpiper Motel
342,Vila Franca Do Campo,PT,55.81,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
346,Sechura,PE,69.22,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
347,Nicolas De Pierola,PE,62.13,overcast clouds,-11.95,-76.7,HOSTAL ELEGANCIA
349,Codrington,AU,61.02,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
353,Mujiayingzi,CN,69.01,scattered clouds,42.1167,118.7833,Jinjiang Hotel
355,Qingdao,CN,60.48,clear sky,36.0986,120.3719,Le Meridien Qingdao
364,Turkan,AZ,53.78,few clouds,40.3639,50.215,Samir Зона Отдыха
366,Praia Da Vitoria,PT,57.76,broken clouds,38.7333,-27.0667,Hotel Branco I
369,Elizabeth City,US,51.03,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
370,Jalu,LY,62.51,clear sky,29.0331,21.5482,صاحبة الفخامة
374,San Cristobal,VE,66.99,overcast clouds,7.7669,-72.225,Pirineos
375,Covina,US,62.2,clear sky,34.09,-117.8903,Hampton Inn Los Angeles/West Covina
377,San Francisco,US,63.1,broken clouds,37.7749,-122.4194,Edwardian Hotel
382,Luau,AO,62.83,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
383,Rio Grande,BR,65.44,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
385,Vredendal,ZA,68.45,clear sky,-31.6683,18.5012,Tharrakamma Guest House
386,Moron,AR,62.96,light rain,-34.6534,-58.6198,Hotel Morón
397,Yenotayevka,RU,50.32,overcast clouds,47.2456,47.0281,Hotel Voyage
403,Payson,US,60.39,scattered clouds,40.0444,-111.7321,Quality Inn Payson I-15
408,Murgab,TM,57.07,clear sky,37.4966,61.9714,
410,San Andres Sajcabaja,GT,64.94,clear sky,15.2167,-90.9167,TUCUNEL
421,Muroran,JP,53.28,clear sky,42.3172,140.9881,Muroran Prince Hotel
423,Vostok,RU,66.9,broken clouds,46.4856,135.8833,
433,Marzuq,YE,67.23,clear sky,14.4,46.4667,
437,Buritis,BR,68.88,clear sky,-15.6178,-46.4233,Hotel Rainha do Vale
438,Maun,BW,55.36,clear sky,-19.9833,23.4167,Enviro Villa
440,Shelomi,IL,60.12,scattered clouds,33.0747,35.1461,"אכסניית אנ""א שלומי- Hi Shlomi Hostel"
443,Nezhinka,RU,53.76,mist,51.7676,55.3694,"Extreme Park, Holiday Village"
444,Cidreira,BR,66.61,clear sky,-30.1811,-50.2056,Hotel Castelo
450,Isla Vista,US,60.82,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
452,Wuda,CN,56.71,scattered clouds,39.4994,106.7117,Grape Sightseeing Garden
457,Watsa,CD,61.86,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
462,Clearlake,US,50.27,overcast clouds,38.9582,-122.6264,Americas Best Value Inn & Suites Clearlake Wine Country
474,Pacifica,US,62.85,broken clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
477,Kabanjahe,ID,67.91,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
479,Aswan,EG,66.11,few clouds,24.0934,32.907,Nuba Nile
480,Anjozorobe,MG,62.6,overcast clouds,-18.4,47.8667,Mandritsara
482,Rosarito,MX,61.41,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
486,Pacific Grove,US,57.65,clear sky,36.6177,-121.9166,Lovers Point Inn
496,Mwinilunga,ZM,60.89,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
499,Piney Green,US,55.89,clear sky,34.716,-77.3202,Holiday City Mobile Home Community
500,Mizdah,LY,67.98,broken clouds,31.4451,12.9801,محمدالمبروك الاريقط
520,Taltal,CL,61.61,broken clouds,-25.4,-70.4833,Residencial Karime
528,Haibara,JP,65.19,light rain,34.5333,135.95,農事組合法人ざ・さとやま組合本部「離宮かやのもり」
532,Tocopilla,CL,65.48,few clouds,-22.092,-70.1979,Hotel Galvarino
534,Bijar,IR,54.34,overcast clouds,35.8668,47.6051,رنگ فروشي جواهري
539,Bell Ville,AR,55.8,clear sky,-32.6259,-62.6887,Hotel Central
552,Douglas,US,50.61,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
556,Dunedin,NZ,57.79,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
558,Jackson,US,51.67,overcast clouds,42.4165,-122.8345,Agate Village Apartments
562,Adeje,ES,62.31,scattered clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
564,Sohag,EG,62.2,scattered clouds,26.557,31.6948,Civil Registry - Sohag 1
566,Comodoro Rivadavia,AR,57.06,clear sky,-45.8667,-67.5,Austral Hotel
569,Flinders,AU,67.05,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
570,Kushima,JP,60.94,moderate rain,31.4583,131.2333,Hanaoka
573,Ghanzi,BW,54.79,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
574,Terney,RU,59.4,few clouds,45.0503,136.6092,"Hotel ""Ternay"""
